label,loudness,acousticness,speechiness
1,-8.363,0.116,0.0848
1,-19.798,0.994,0.0534
0,-2.097,3.11e-05,0.171
1,-11.219,0.921,0.0296
1,-9.143,0.311,0.0287
0,-6.699,0.142,0.253
0,-8.56,0.00484,0.197
1,-8.023,0.441,0.0411
1,-4.638,0.15,0.0331
1,-15.219,0.491,0.036
1,-11.957,0.821,0.0433
1,-5.922,0.112,0.0313
0,-7.603,0.276,0.567
1,-10.345,0.000199,0.0378
1,-13.825,0.768,0.139
0,-2.519,0.284,0.0519
1,-6.751,0.808,0.0768
0,-5.117,0.0689,0.0452
1,-10.648,0.741,0.0478
1,-6.788,0.714,0.0452
1,-5.643,0.733,0.142
1,-3.586,0.000961,0.0646
1,-22.027,0.984,0.0484
0,-2.705,0.00446,0.0516
1,-9.633,0.775,0.029
0,-6.753,0.00422,0.458
1,-9.065,0.0385,0.0931
0,-4.653,0.0141,0.286
0,-4.113,0.00419,0.0704
1,-22.814,0.887,0.0367
1,-5.589,0.0435,0.0339
1,-6.887,0.506,0.0322
1,-14.287,0.877,0.0447
1,-6.035,0.696,0.136
1,-28.841,0.878,0.0405
0,-10.013,0.353,0.228
1,-6.283,0.155,0.0354
1,-7.896,0.704,0.0243
1,-20.931,0.805,0.0385
0,-3.438,0.0743,0.0515
0,-3.522,0.194,0.175
1,-7.679,0.737,0.0365
1,-10.563,0.288,0.0634
1,-19.978,0.885,0.039
0,-14.518,0.0592,0.0297
1,-8.379,0.296,0.315
1,-8.717,0.713,0.0385
1,-9.088,0.27,0.0259
0,-6.155,0.000878,0.0936
0,-4.223,0.00126,0.159
0,-3.041,0.0341,0.244
1,-14.114,0.823,0.0339
1,-22.696,0.99,0.0338
1,-10.442,0.0229,0.0866
0,-5.278,0.0016,0.0425
0,-3.335,0.0507,0.146
1,-11.961,0.639,0.0358
1,-7.198,0.673,0.0775
1,-4.702,0.302,0.0399
1,-9.919,0.813,0.0295
0,-3.489,0.0193,0.359
1,-4.096,0.609,0.0334
0,-7.668,0.0126,0.0844
0,-5.915,0.196,0.0721
1,-5.092,0.0121,0.0433
1,-20.21,0.987,0.0393
0,-4.803,0.031,0.367
0,-2.411,0.00559,0.335
1,-12.504,0.633,0.0283
1,-7.301,0.201,0.118
0,-5.434,0.019,0.327
0,-3.016,0.00116,0.337
1,-9.664,0.905,0.0478
1,-6.06,0.379,0.0299
0,-4.213,0.102,0.0444
0,-7.549,0.202,0.157
1,-6.865,0.162,0.0416
1,-7.795,0.195,0.0436
1,-7.868,0.125,0.351
1,-11.002,0.124,0.101
0,-4.108,0.000175,0.0556
0,-3.293,0.00197,0.0543
1,-7.631,0.916,0.0327
1,-6.892,0.168,0.0373
1,-5.056,0.0155,0.0349
